Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior month),Status
,,eix,,,,,,141.85,15.96,1.83,2.21,1.91,18.38,2.64,23660000000.0,39.61,23660000000.0,44570000000.0,15.96,4.06,3.45,11.49,3.45,4450000000.0,23660000000.0,,0.76,42.00,0.10,0.79,0.79,18320000000.0,0.69,32.90,2560000000.0,23660000000.0,0.06,89.55,,2.17,2.54,6020000.0,
,,el,,,,,,73.62,36.13,4.38,13.91,12.45,17.63,12.49,63820000000.0,39.94,63820000000.0,63900000000.0,30.35,2.75,4.39,20.52,4.39,10860000000.0,63820000000.0,,4.88,49.20,11.10,2900000000.0,8.02,3400000000.0,1.69,12.68,2410000000.0,63820000000.0,1.14,91.84,,6.04,2.91,6760000.0,
,,emc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,
,,emn,,,,,,110.28,9.86,0.91,1.50,9.44,14.16,5.26,8780000000.0,69.42,8780000000.0,15170000000.0,7.49,1.84,1.57,7.65,1.57,2460000000.0,8780000000.0,,6.50,25.00,9.80,1.37,1.37,6560000000.0,1.58,42.84,1550000000.0,8780000000.0,0.43,85.56,,2.14,1.65,2230000.0,
,,emr,,,,,,70.57,16.03,1.90,3.97,12.06,16.44,8.99,34730000000.0,29.50,34730000000.0,41070000000.0,14.67,2.60,2.24,11.05,2.24,7460000000.0,34730000000.0,,3.52,15.20,5.10,1600000000.0,2.61,6210000000.0,1.18,14.23,2830000000.0,34730000000.0,0.64,74.20,,2.54,1.05,6600000.0,
,,eog,,,,,,29.58,12.24,2.47,2.12,20.18,25.38,8.27,43730000000.0,30.62,43730000000.0,48510000000.0,12.92,1.18,2.74,5.69,2.74,9590000000.0,43730000000.0,,6.15,21.70,1.90,1160000000.0,6100000000.0,6100000000.0,1.02,35.53,8570000000.0,43730000000.0,0.47,89.24,,2.83,1.62,11520000.0,
,,eqr,,,,,,87.02,40.47,11.39,2.97,28.27,33.56,2.67,30050000000.0,7.15,30050000000.0,39670000000.0,52.61,16.33,15.04,23.50,15.04,1700000000.0,30050000000.0,,2.00,172.00,4.60,251270000.0,0.68,9410000000.0,0.79,27.28,1360000000.0,30050000000.0,1.88,94.07,,4.4,1.78,5070000.0,
,,eqt,,,,,,44.97,26.89,0.65,0.27,7.72,19.68,2.32,3020000000.0,18.23,3020000000.0,8050000000.000001,26.89,0.28,1.72,2.84,1.72,2840000000.0,3020000000.0,,1.41,605.20,10.20,30170000.0,0.12,5060000000.0,1.04,44.15,2750000000.0,3020000000.0,0.78,107.47,,4.14,9.41,12400000.0,
,,esrx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,
,,esv,,,,,,61.92,2.83,0.90,0.16,7.34,15.27,1.06,1630000000.0,14.15,1630000000.0,5870000000.0,2.83,0.08,3.23,34.49,3.23,170300000.0,1630000000.0,,1.13,1090000000.0,27.40,1090000000.0,5.8,6020000000.0,1.17,51.55,331100000.0,1630000000.0,0.69,107.02,,5.41,38.04,34110000.0,
